studentid,name,academicinterest,extracurricularactivities,skills,location,yearofstudy,major,gpa,languages,clubmemberships,researchinterests
483,Student 483,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,Biology,2.25,English,"Art Club, Sports Team",Renewable Energy
484,Student 484,Biology,Music Club,"Data Analysis, Leadership",New York,Junior,History,2.75,"English, German","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
485,Student 485,Psychology,Coding Club,Data Analysis,Los Angeles,Freshman,Computer Science,2.88,"Chinese, English, French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
486,Student 486,Physics,Music Club,"Data Analysis, Problem Solving, Programming",San Francisco,Graduate,Biology,2.6,"English, French, German, Japanese, Spanish","Debate Club, Sports Team",Astrophysics
487,Student 487,Biology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving",Los Angeles,Junior,Biology,3.79,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team",Political Science
488,Student 488,Computer Science,Coding Club,Programming,Los Angeles,Junior,History,3.04,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
489,Student 489,Biology,Debate Club,"Artistic, Data Analysis, Problem Solving, Programming",New York,Freshman,History,3.39,"Chinese, English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Healthcare Management
490,Student 490,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,Physics,2.35,"English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
491,Student 491,Biology,Sports Team,"Artistic, Leadership, Programming, Public Speaking",Los Angeles,Graduate,History,2.29,"German, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
492,Student 492,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Senior,History,3.17,German,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
493,Student 493,Mathematics,Coding Club,Programming,New York,Senior,Psychology,2.62,"Chinese, English, French, German, Japanese, Spanish",Art Club,Astrophysics
494,Student 494,History,Sports Team,"Artistic, Data Analysis, Leadership",San Francisco,Junior,Mathematics,2.74,"Chinese, French, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
495,Student 495,Mathematics,Art Club,"Artistic, Leadership",San Francisco,Sophomore,History,3.14,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club",Biomedical Engineering
496,Student 496,Psychology,Debate Club,Programming,Houston,Graduate,Biology,2.63,"French, German","Art Club, Coding Club, Debate Club, Volunteer Group",Data Science
497,Student 497,Biology,Sports Team,"Artistic, Data Analysis, Problem Solving",Boston,Sophomore,Psychology,3.9699999999999998,German,"Art Club, Coding Club, Sports Team, Volunteer Group",Healthcare Management
498,Student 498,Mathematics,Debate Club,Public Speaking,New York,Freshman,Mathematics,3.38,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club",Cybersecurity
499,Student 499,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Houston,Junior,Mathematics,3.14,"Japanese, Spanish","Debate Club, Sports Team",Biomedical Engineering
500,Student 500,Computer Science,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Graduate,Biology,2.71,"English, French, German","Debate Club, Music Club, Sports Team",Blockchain Technology
501,Student 501,Physics,Volunteer Group,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Boston,Senior,Biology,2.2800000000000002,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club",Environmental Sustainability
502,Student 502,Physics,Sports Team,Data Analysis,New York,Senior,Physics,2.06,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Blockchain Technology
503,Student 503,Computer Science,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Graduate,Biology,3.11,"Chinese, English, German, Japanese",Coding Club,Educational Technology
504,Student 504,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Los Angeles,Senior,History,3.2800000000000002,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
505,Student 505,Mathematics,Debate Club,"Artistic, Data Analysis, Programming",Houston,Senior,Psychology,3.15,"Chinese, English, French, German, Japanese, Spanish","Sports Team, Volunteer Group",Cognitive Psychology
506,Student 506,Mathematics,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Junior,Psychology,3.84,"Chinese, English, French, German, Japanese, Spanish",Coding Club,Astrophysics
507,Student 507,History,Music Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",San Francisco,Graduate,Psychology,2.59,"Chinese, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
508,Student 508,Computer Science,Music Club,"Artistic, Problem Solving, Programming, Public Speaking",Houston,Graduate,History,2.06,"English, French, German, Japanese, Spanish",Coding Club,Nanotechnology
509,Student 509,Physics,Debate Club,"Data Analysis, Public Speaking",New York,Senior,Physics,3.9699999999999998,"Chinese, English","Coding Club, Debate Club, Sports Team, Volunteer Group",Sustainable Agriculture
510,Student 510,Computer Science,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,History,3.22,"Chinese, English, French, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Behavioral Economics
511,Student 511,Mathematics,Sports Team,Programming,San Francisco,Sophomore,Physics,3.66,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Volunteer Group",Machine Learning
512,Student 512,Physics,Debate Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Freshman,Physics,2.8,"Chinese, English, French, German, Japanese, Spanish",Volunteer Group,Behavioral Economics
513,Student 513,Psychology,Sports Team,"Artistic, Data Analysis, Problem Solving",Los Angeles,Junior,Biology,2.55,"English, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
514,Student 514,Computer Science,Coding Club,"Artistic, Data Analysis, Problem Solving, Public Speaking",Boston,Sophomore,Computer Science,2.71,"English, German, Japanese, Spanish",Coding Club,Renewable Energy
515,Student 515,Computer Science,Art Club,"Data Analysis, Public Speaking",Boston,Freshman,Biology,3.62,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
516,Student 516,Computer Science,Art Club,Problem Solving,Houston,Sophomore,Mathematics,2.73,"French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Healthcare Management
517,Student 517,History,Music Club,"Artistic, Problem Solving",Los Angeles,Sophomore,Biology,2.87,German,"Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Cognitive Psychology
518,Student 518,Physics,Volunteer Group,"Artistic, Problem Solving, Programming",San Francisco,Freshman,Psychology,2.77,"Chinese, English, French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Social Sciences
519,Student 519,Computer Science,Art Club,"Artistic, Data Analysis, Leadership",Boston,Graduate,Physics,3.07,"Chinese, French, German, Japanese","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
520,Student 520,Computer Science,Art Club,"Artistic, Problem Solving, Programming",Boston,Sophomore,Psychology,3.63,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team",Environmental Sustainability
521,Student 521,Biology,Art Club,"Artistic, Data Analysis, Leadership",Houston,Sophomore,History,3.43,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Sports Team",Political Science
522,Student 522,Biology,Music Club,Artistic,San Francisco,Sophomore,History,3.5700000000000003,"Chinese, English, French","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Biomedical Engineering
523,Student 523,Biology,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Los Angeles,Freshman,Psychology,3.35,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club",Astrophysics
524,Student 524,Biology,Coding Club,Data Analysis,New York,Graduate,Physics,2.55,Chinese,Art Club,Healthcare Management
525,Student 525,Biology,Music Club,"Problem Solving, Programming, Public Speaking",New York,Freshman,Computer Science,3.89,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Volunteer Group",Political Science
526,Student 526,Psychology,Volunteer Group,"Problem Solving, Public Speaking",Los Angeles,Junior,Physics,3.7199999999999998,"German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
527,Student 527,Computer Science,Volunteer Group,Programming,Boston,Junior,Physics,3.62,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Climate Change
528,Student 528,Physics,Sports Team,"Artistic, Leadership, Programming, Public Speaking",Los Angeles,Freshman,Physics,3.58,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Sports Team, Volunteer Group",Data Science
529,Student 529,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving",New York,Sophomore,Mathematics,3.61,"German, Japanese","Art Club, Sports Team",Natural Language Processing
530,Student 530,Mathematics,Music Club,Problem Solving,Chicago,Freshman,Physics,3.6,"Chinese, English, German, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Behavioral Economics
531,Student 531,Physics,Debate Club,"Problem Solving, Programming, Public Speaking",Boston,Freshman,Psychology,3.13,"Chinese, English, German, Japanese","Art Club, Coding Club, Music Club, Volunteer Group",Sustainable Agriculture
532,Student 532,Mathematics,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Freshman,History,3.85,"French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
533,Student 533,Mathematics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Junior,Computer Science,3.4,"Chinese, German, Japanese","Art Club, Debate Club, Music Club, Volunteer Group",Blockchain Technology
534,Student 534,Biology,Debate Club,"Artistic, Problem Solving, Programming",Chicago,Senior,Computer Science,4.0,"Chinese, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
535,Student 535,Psychology,Volunteer Group,Programming,New York,Graduate,History,3.37,"Chinese, English, French, Japanese, Spanish","Coding Club, Volunteer Group",Quantum Computing
536,Student 536,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,Biology,3.81,"English, German",Sports Team,Cybersecurity
537,Student 537,Computer Science,Debate Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",San Francisco,Senior,Psychology,2.59,"Chinese, French, German, Japanese","Debate Club, Volunteer Group",Nanotechnology
538,Student 538,Computer Science,Volunteer Group,"Leadership, Problem Solving, Public Speaking",Houston,Sophomore,Physics,2.94,"Chinese, English, French, German, Japanese, Spanish","Art Club, Music Club, Sports Team",Space Exploration
539,Student 539,History,Art Club,"Leadership, Problem Solving, Public Speaking",Los Angeles,Senior,Psychology,3.58,"English, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
540,Student 540,Computer Science,Sports Team,Problem Solving,San Francisco,Graduate,History,3.7800000000000002,"Chinese, English, Japanese, Spanish",Art Club,Bioinformatics
541,Student 541,Mathematics,Music Club,Problem Solving,Boston,Sophomore,History,2.55,"Chinese, French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
542,Student 542,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Houston,Senior,Mathematics,2.24,English,Art Club,Environmental Sustainability
543,Student 543,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Public Speaking",Boston,Sophomore,Biology,3.39,German,Debate Club,Social Sciences
544,Student 544,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Public Speaking",Los Angeles,Senior,Physics,3.84,"Chinese, English, German","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Political Science
545,Student 545,Psychology,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Biology,2.36,"English, French, Japanese","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
546,Student 546,History,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Junior,Physics,2.37,"French, German","Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
547,Student 547,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Physics,3.31,"German, Spanish","Coding Club, Sports Team",Educational Technology
548,Student 548,Computer Science,Volunteer Group,"Artistic, Data Analysis, Problem Solving",Los Angeles,Junior,Psychology,3.23,"English, German, Japanese, Spanish","Art Club, Sports Team",Artificial Intelligence
549,Student 549,Psychology,Art Club,"Artistic, Problem Solving, Public Speaking",Los Angeles,Senior,Psychology,3.56,"Chinese, English, French, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
550,Student 550,Psychology,Music Club,Public Speaking,New York,Graduate,Computer Science,3.7800000000000002,French,"Art Club, Coding Club, Music Club, Sports Team",Environmental Sustainability
551,Student 551,Biology,Debate Club,Public Speaking,Houston,Senior,History,3.07,"Chinese, English, French","Coding Club, Debate Club, Music Club, Volunteer Group",Social Sciences
552,Student 552,Biology,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving",San Francisco,Graduate,Mathematics,2.91,"Chinese, French, Japanese, Spanish","Debate Club, Sports Team",Cognitive Psychology
553,Student 553,History,Sports Team,"Data Analysis, Problem Solving, Programming, Public Speaking",Houston,Graduate,Mathematics,3.7199999999999998,German,"Coding Club, Music Club",Space Exploration
554,Student 554,Mathematics,Debate Club,"Artistic, Problem Solving, Programming",San Francisco,Senior,Physics,3.16,"French, German","Coding Club, Debate Club, Music Club, Volunteer Group",Social Sciences
555,Student 555,History,Music Club,"Artistic, Problem Solving, Programming",Chicago,Sophomore,Computer Science,2.12,"German, Spanish",Debate Club,Machine Learning
556,Student 556,Biology,Debate Club,"Leadership, Problem Solving, Programming",Houston,Freshman,Mathematics,2.54,English,"Coding Club, Debate Club, Music Club, Sports Team",Sustainable Agriculture
557,Student 557,Mathematics,Art Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Biology,3.5,"German, Japanese","Art Club, Volunteer Group",Space Exploration
558,Student 558,History,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Psychology,3.5300000000000002,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
559,Student 559,Biology,Sports Team,"Data Analysis, Leadership, Programming, Public Speaking",New York,Junior,Psychology,3.9,"English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Blockchain Technology
560,Student 560,Psychology,Coding Club,"Artistic, Public Speaking",Los Angeles,Sophomore,History,2.62,"German, Japanese","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Blockchain Technology
561,Student 561,Mathematics,Music Club,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Chicago,Freshman,Biology,2.98,"Chinese, Spanish",Sports Team,Robotics
562,Student 562,Physics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Biology,3.16,"Chinese, English, French, German, Japanese, Spanish",Art Club,Environmental Sustainability
563,Student 563,History,Volunteer Group,Data Analysis,San Francisco,Junior,Computer Science,3.02,"German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Political Science
564,Student 564,Mathematics,Music Club,"Data Analysis, Public Speaking",New York,Sophomore,History,2.63,"Chinese, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team",Healthcare Management
565,Student 565,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Public Speaking",New York,Freshman,Physics,2.8,"German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
566,Student 566,Biology,Music Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Houston,Freshman,Mathematics,3.8,"Chinese, English, French, German, Spanish","Art Club, Music Club, Sports Team",Political Science
567,Student 567,Mathematics,Music Club,"Programming, Public Speaking",New York,Junior,Psychology,2.56,"Chinese, English, French","Coding Club, Debate Club, Music Club, Sports Team",Machine Learning
568,Student 568,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Graduate,Biology,3.55,"English, German, Japanese, Spanish","Debate Club, Sports Team",Space Exploration
569,Student 569,History,Art Club,Data Analysis,Los Angeles,Senior,Biology,2.95,French,"Art Club, Music Club, Volunteer Group",Astrophysics
570,Student 570,Biology,Coding Club,"Artistic, Data Analysis, Leadership",Chicago,Freshman,Mathematics,2.24,"Chinese, English, French, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
571,Student 571,Mathematics,Music Club,"Artistic, Programming, Public Speaking",Boston,Senior,History,3.96,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Sports Team",Astrophysics
572,Student 572,Psychology,Debate Club,"Artistic, Data Analysis",San Francisco,Senior,Mathematics,2.8200000000000003,"Chinese, French, German, Japanese",Debate Club,Astrophysics
573,Student 573,History,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Mathematics,3.5,"Chinese, Japanese, Spanish","Art Club, Sports Team",Cybersecurity
574,Student 574,Psychology,Debate Club,Leadership,New York,Graduate,Mathematics,3.9699999999999998,"Chinese, French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Social Sciences
638,Student 638,Psychology,Sports Team,Leadership,New York,Sophomore,Psychology,3.46,"Chinese, English, French, German, Japanese","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
575,Student 575,Physics,Coding Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Graduate,Psychology,2.89,"Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cognitive Psychology
576,Student 576,Computer Science,Volunteer Group,"Artistic, Leadership, Problem Solving, Public Speaking",Boston,Graduate,Physics,2.9,"Chinese, English, French, German, Spanish","Music Club, Volunteer Group",Blockchain Technology
577,Student 577,Psychology,Art Club,Public Speaking,Boston,Graduate,Physics,3.06,"Chinese, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
578,Student 578,Computer Science,Volunteer Group,"Artistic, Problem Solving, Programming, Public Speaking",Boston,Graduate,Biology,3.41,"English, Japanese, Spanish",Volunteer Group,Quantum Computing
579,Student 579,History,Coding Club,"Leadership, Programming, Public Speaking",New York,Senior,History,3.35,"English, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Human-Computer Interaction
580,Student 580,Mathematics,Volunteer Group,"Leadership, Problem Solving",Los Angeles,Freshman,History,2.46,"Chinese, English, German","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Educational Technology
581,Student 581,Mathematics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Graduate,Biology,2.43,"English, French","Art Club, Coding Club, Sports Team, Volunteer Group",Urban Planning
582,Student 582,Biology,Coding Club,Artistic,Boston,Sophomore,History,3.89,"French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Machine Learning
583,Student 583,Mathematics,Sports Team,Artistic,Houston,Junior,Biology,2.79,"English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
584,Student 584,Physics,Volunteer Group,"Data Analysis, Programming, Public Speaking",San Francisco,Graduate,Physics,2.09,"English, French","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Social Sciences
585,Student 585,Psychology,Coding Club,"Artistic, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,Biology,2.79,"Chinese, Japanese",Coding Club,Cybersecurity
586,Student 586,Physics,Volunteer Group,"Artistic, Data Analysis, Leadership, Programming, Public Speaking",Los Angeles,Freshman,History,3.65,"German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
587,Student 587,Mathematics,Art Club,"Problem Solving, Programming",Chicago,Sophomore,Psychology,2.5,"English, Japanese","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Nanotechnology
588,Student 588,Psychology,Music Club,"Artistic, Data Analysis, Leadership",Houston,Graduate,History,2.67,English,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Bioinformatics
589,Student 589,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Mathematics,2.87,"Chinese, English, French, Japanese","Art Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
590,Student 590,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Biology,2.48,"French, Japanese",Music Club,Cybersecurity
591,Student 591,Biology,Volunteer Group,Problem Solving,New York,Sophomore,Mathematics,3.45,"Chinese, English, French, German, Japanese, Spanish","Art Club, Sports Team",Behavioral Economics
592,Student 592,Mathematics,Debate Club,"Artistic, Leadership, Problem Solving, Public Speaking",Chicago,Freshman,Psychology,3.33,"Chinese, English, Japanese, Spanish","Art Club, Debate Club, Volunteer Group",Climate Change
593,Student 593,Biology,Coding Club,"Leadership, Problem Solving, Public Speaking",New York,Sophomore,Physics,3.65,"English, French, German","Art Club, Coding Club, Debate Club, Music Club",Political Science
594,Student 594,History,Music Club,"Artistic, Data Analysis, Problem Solving, Public Speaking",New York,Freshman,Computer Science,2.91,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
595,Student 595,Psychology,Volunteer Group,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Mathematics,3.43,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
596,Student 596,History,Debate Club,"Artistic, Leadership, Problem Solving, Programming",Boston,Senior,Computer Science,3.92,"Chinese, German, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
597,Student 597,History,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Sophomore,Computer Science,3.36,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Behavioral Economics
598,Student 598,History,Music Club,"Artistic, Leadership, Programming, Public Speaking",Houston,Junior,History,2.5700000000000003,Spanish,Art Club,Data Science
599,Student 599,Computer Science,Music Club,"Artistic, Leadership, Problem Solving, Programming",Houston,Senior,Psychology,2.49,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
600,Student 600,History,Music Club,"Data Analysis, Problem Solving, Programming",New York,Graduate,Physics,2.8,"French, Spanish","Art Club, Sports Team",Behavioral Economics
601,Student 601,Psychology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Los Angeles,Graduate,Psychology,2.85,"Chinese, English, French, German",Volunteer Group,Quantum Computing
602,Student 602,History,Sports Team,"Data Analysis, Programming, Public Speaking",Los Angeles,Graduate,Mathematics,3.96,"Chinese, English, French, Spanish","Coding Club, Music Club",Environmental Sustainability
603,Student 603,History,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Computer Science,2.13,German,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cognitive Psychology
604,Student 604,Physics,Volunteer Group,"Artistic, Public Speaking",Chicago,Sophomore,Physics,2.51,English,"Art Club, Volunteer Group",Machine Learning
605,Student 605,Mathematics,Debate Club,"Artistic, Leadership, Programming",Boston,Junior,Computer Science,3.27,"Chinese, English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
704,Student 704,Physics,Debate Club,"Data Analysis, Leadership",New York,Senior,Computer Science,2.02,Chinese,"Coding Club, Debate Club, Music Club",Robotics
606,Student 606,History,Volunteer Group,"Artistic, Problem Solving",Houston,Freshman,Computer Science,2.69,"Chinese, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Urban Planning
607,Student 607,Psychology,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Graduate,Computer Science,2.8,"French, German, Japanese",Volunteer Group,Climate Change
608,Student 608,Physics,Music Club,"Data Analysis, Problem Solving",Houston,Junior,Computer Science,3.04,"Chinese, French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
609,Student 609,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",San Francisco,Junior,Physics,3.46,"Chinese, English, German, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Cybersecurity
610,Student 610,Mathematics,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,Computer Science,2.95,"French, German, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Healthcare Management
611,Student 611,Computer Science,Coding Club,Artistic,Chicago,Graduate,Physics,3.73,"English, French, German, Japanese, Spanish","Music Club, Volunteer Group",Political Science
612,Student 612,Biology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Sophomore,Psychology,2.89,"Chinese, English, German, Japanese, Spanish","Coding Club, Debate Club, Volunteer Group",Climate Change
613,Student 613,History,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Biology,2.41,"Chinese, English, Japanese","Coding Club, Debate Club, Volunteer Group",Artificial Intelligence
614,Student 614,Computer Science,Coding Club,"Leadership, Public Speaking",San Francisco,Senior,Mathematics,3.14,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
615,Student 615,Mathematics,Volunteer Group,"Artistic, Public Speaking",New York,Freshman,Psychology,2.04,"English, Japanese, Spanish","Coding Club, Sports Team",Behavioral Economics
616,Student 616,Physics,Debate Club,Programming,Los Angeles,Senior,History,3.39,"English, Spanish",Music Club,Climate Change
617,Student 617,Physics,Art Club,"Artistic, Data Analysis, Programming, Public Speaking",Los Angeles,Freshman,Physics,2.2,"English, German, Japanese, Spanish","Art Club, Coding Club, Sports Team, Volunteer Group",Social Sciences
618,Student 618,History,Sports Team,Data Analysis,Chicago,Junior,Biology,3.32,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
